repo,model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,n_samples,n_positive,n_negative
flask,LightGBM,0.7659430122116689,0.3333333333333333,0.020710059171597635,0.038997214484679674,0.5962840653387782,1122,14,331,7,1474,338,1136
flask,CatBoost,0.7706919945725916,0.0,0.0,0.0,0.5939804879573297,1136,0,338,0,1474,338,1136
matplotlib,Logistic Regression,0.6150730622617535,0.3403007902115728,0.37145242070116863,0.35519489157908746,0.5687954113775113,12820,5176,4518,2670,25184,7188,17996
matplotlib,Random Forest,0.6069726810673444,0.3492434356920338,0.4367000556483027,0.38810583580613256,0.5723572923767268,12147,5849,4049,3139,25184,7188,17996
matplotlib,XGBoost,0.7151365946632783,0.5686274509803921,0.008069003895381191,0.015912208504801094,0.5709174938151718,17952,44,7130,58,25184,7188,17996
matplotlib,LightGBM,0.7150968869123253,0.5764705882352941,0.006816917084028937,0.013474494706448507,0.5734594509841611,17960,36,7139,49,25184,7188,17996
matplotlib,CatBoost,0.7145806861499364,0.0,0.0,0.0,0.5722660359323033,17996,0,7188,0,25184,7188,17996
numpy,Logistic Regression,0.6025161509690582,0.3959173985283646,0.3357487922705314,0.36335911120792946,0.5522109602513909,7192,2545,3300,1668,14705,4968,9737
numpy,Random Forest,0.5845630737844271,0.4019927847448892,0.47101449275362317,0.4337751413476689,0.5784376278078025,6256,3481,2628,2340,14705,4968,9737
numpy,XGBoost,0.6620877252635158,0.4925373134328358,0.006642512077294686,0.013108242303872891,0.5624026944882289,9703,34,4935,33,14705,4968,9737
numpy,LightGBM,0.6622237334240054,0.5031055900621118,0.016304347826086956,0.031585104308832136,0.5663126623102243,9657,80,4887,81,14705,4968,9737
numpy,CatBoost,0.6621557293437607,0.0,0.0,0.0,0.5602553373530619,9737,0,4968,0,14705,4968,9737
pandas,Logistic Regression,0.5735332351156947,0.4520360754304455,0.36192560175054705,0.40199295175598493,0.5556893485466898,9928,4010,5832,3308,23078,9140,13938
pandas,Random Forest,0.5409480890891758,0.4262677484787018,0.4598468271334792,0.44242105263157894,0.5358396146673939,8281,5657,4937,4203,23078,9140,13938
pandas,XGBoost,0.6037784903371176,0.49725274725274726,0.03960612691466083,0.07336846372111877,0.5504375111662057,13572,366,8778,362,23078,9140,13938
pandas,LightGBM,0.6053384175405148,0.525,0.036761487964989056,0.0687116564417178,0.552529457588514,13634,304,8804,336,23078,9140,13938
pandas,CatBoost,0.6046017852500216,0.5824175824175825,0.0057986870897155365,0.011483046257176905,0.5576905720017344,13900,38,9087,53,23078,9140,13938
pytest,Logistic Regression,0.5691779199241885,0.3950418544752093,0.41105527638190953,0.4028895091118044,0.5435490935834877,3578,1879,1758,1227,8442,2985,5457
pytest,Random Forest,0.5621890547263682,0.39596136962247586,0.45326633165829144,0.422680412371134,0.5530315433989936,3393,2064,1632,1353,8442,2985,5457
pytest,XGBoost,0.6488983653162758,0.5373665480427047,0.05058626465661641,0.09246785058175137,0.5525660186584379,5327,130,2834,151,8442,2985,5457
pytest,LightGBM,0.6481876332622601,0.5311203319502075,0.04288107202680067,0.07935523868567886,0.552063874439082,5344,113,2857,128,8442,2985,5457
pytest,CatBoost,0.6478322672352523,0.5234375,0.04489112227805695,0.08269052761493367,0.5562721677534334,5335,122,2851,134,8442,2985,5457
requests,Logistic Regression,0.6168658698539177,0.31514084507042256,0.4877384196185286,0.38288770053475946,0.611245344044324,750,389,188,179,1506,367,1139
requests,Random Forest,0.6115537848605578,0.29118773946360155,0.4141689373297003,0.34195725534308213,0.5510055907352163,769,370,215,152,1506,367,1139
requests,XGBoost,0.748339973439575,0.2857142857142857,0.021798365122615803,0.04050632911392405,0.5679835316126531,1119,20,359,8,1506,367,1139
requests,LightGBM,0.7397078353253652,0.2222222222222222,0.027247956403269755,0.04854368932038835,0.5635052019913257,1104,35,357,10,1506,367,1139
requests,CatBoost,0.7563081009296149,0.0,0.0,0.0,0.5913428529734721,1139,0,367,0,1506,367,1139
scikit-learn,Logistic Regression,0.6306857112739156,0.2932258064516129,0.4091829844699527,0.34163299821478904,0.5807867150767564,10148,4382,2625,1818,18973,4443,14530
scikit-learn,Random Forest,0.6061244927001529,0.2841265317754346,0.4487958586540626,0.347962655963703,0.5665072101633306,9506,5024,2449,1994,18973,4443,14530
scikit-learn,XGBoost,0.7658251199072366,0.0,0.0,0.0,0.5835913154913681,14530,0,4443,0,18973,4443,14530
scikit-learn,LightGBM,0.7658251199072366,0.0,0.0,0.0,0.5849125088158814,14530,0,4443,0,18973,4443,14530
scikit-learn,CatBoost,0.7658251199072366,0.0,0.0,0.0,0.5846725495490095,14530,0,4443,0,18973,4443,14530
